,,,,tempoExecucao,tempoExecucao,raio,raio,silhueta,silhueta,indiceRand,indiceRand
,,,,mean,std,mean,std,mean,std,mean,std
algoritmo,instancia,p,percentRaio,,,,,,,,
1,.\df_0.txt,1,0.0,0.018363333333333332,0.0017689824336535145,2.157496666666667,0.21832692740448903,0.36679,0.012267685333765104,0.00036333333333333335,0.0032765081637509217
1,.\df_0.txt,2,0.0,0.018356666666666667,0.0007876999837297304,1.8070099999999998,0.15429844648021218,0.36812,0.01212365598665512,-0.0009666666666666666,0.0012761292047149602
1,.\df_1.txt,1,0.0,0.018799999999999997,0.0020577858874578493,2.314686666666667,0.17656258582339485,0.4405866666666667,0.04062210824367587,0.2773733333333333,0.08532091118276616
1,.\df_1.txt,2,0.0,0.01861,0.0016680258825412704,1.7994666666666668,0.1376478799349075,0.4278133333333333,0.026059265786536136,0.19551000000000002,0.05705069342864865
1,.\df_2.txt,1,0.0,0.028573333333333333,0.00185582648812409,9.076586666666666,0.939333954691718,0.38280666666666663,0.02090696853523565,0.41252333333333335,0.11183685988923805
1,.\df_2.txt,2,0.0,0.02963,0.0030764007182599524,7.418263333333333,0.674976818750522,0.37421666666666664,0.0449978090143504,0.33874666666666664,0.20402866893435942
1,.\df_3.txt,1,0.0,0.02793,0.0016026163952564665,3.3048833333333336,0.545309932172922,0.5118699999999999,0.047328952646563914,0.6068833333333334,0.10435344477678543
1,.\df_3.txt,2,0.0,0.02841,0.0007653486922244366,2.6229299999999998,0.2948611784996575,0.49721,0.04331045386270043,0.5825866666666666,0.08282940396332415
1,.\df_4.txt,1,0.0,0.02747,0.0005120277470929715,7.063366666666667,0.5450845086857592,0.5599266666666666,0.03272790577002988,0.7727166666666666,0.07733245329959043
1,.\df_4.txt,2,0.0,0.029673333333333333,0.0026360803364521867,5.040793333333334,0.27256197894757084,0.5774766666666667,0.04372615948135055,0.8119633333333333,0.11818523299824975
1,.\df_5.txt,1,0.0,0.017866666666666666,0.0005713464637233649,2.2475966666666665,0.20869298268746006,0.36554000000000003,0.013199963427326556,0.0006933333333333333,0.00234078285362314
1,.\df_5.txt,2,0.0,0.0185,0.0017762804997502794,1.7494866666666666,0.13882298014410996,0.37143,0.011997072918870241,-0.00161,0.00044902192558401023
1,.\df_6.txt,1,0.0,0.018713333333333335,0.0024269653725465944,2.27127,0.300081421307273,0.4333433333333333,0.04857165118513654,0.26927333333333336,0.1339285551518326
1,.\df_6.txt,2,0.0,0.018033333333333332,0.0006556562037159912,1.7539166666666666,0.15889817837833758,0.42535666666666666,0.03346412060425452,0.1959,0.07314724403793234
1,.\df_7.txt,1,0.0,0.029033333333333335,0.0024056447029396524,9.15312,0.8084550393316193,0.37992000000000004,0.023143352363490688,0.39364666666666664,0.12935941039395343
1,.\df_7.txt,2,0.0,0.02793666666666667,0.0004824387281684403,7.145146666666666,0.7197541921083,0.36998,0.03502681140557016,0.34357666666666664,0.18363594359931065
1,.\df_8.txt,1,0.0,0.02809,0.002413803694558045,3.506606666666667,0.5540369151981652,0.5102933333333334,0.045470975459026626,0.60444,0.09516808216029661
1,.\df_8.txt,2,0.0,0.02832,0.0036150451897781224,2.700793333333333,0.3379279702206836,0.49733333333333335,0.04302370904780159,0.5788566666666667,0.08578707274744084
1,.\df_9.txt,1,0.0,0.02743333333333333,0.0005181754018924835,6.635886666666666,0.8991619660525028,0.65025,0.05751478820328703,0.8635066666666666,0.13444702823900148
1,.\df_9.txt,2,0.0,0.02832,0.002085979468937216,5.418523333333334,0.3496269042785499,0.6672433333333333,0.04960071386675752,0.8974799999999999,0.14703223526457235
1,.\pontos_1.txt,1,0.0,0.08979666666666666,0.0029524371386146875,7.277263333333334,1.0076679510849182,0.65925,0.03362392159532077,0.7914866666666666,0.08483600298398583
1,.\pontos_1.txt,2,0.0,0.09362333333333334,0.004659338663545419,5.723973333333333,0.30130839618104793,0.66767,0.03825240267414359,0.8199233333333333,0.09093717301951723
1,.\pontos_10.txt,1,0.0,0.09284666666666667,0.0065308674680364985,8.511786666666668,0.8417242429652371,0.64848,0.07317857421498407,0.8540033333333333,0.10677829265168641
1,.\pontos_10.txt,2,0.0,0.09439333333333333,0.004744065863743908,6.144473333333334,0.4329180195812606,0.6885866666666666,0.04568950481866392,0.9195366666666666,0.0752312869770941
1,.\pontos_2.txt,1,0.0,0.09024,0.0027851329442670062,9.146666666666667,0.7489014047409632,0.78399,0.024461642739547207,0.9500333333333334,0.03533075570732352
1,.\pontos_2.txt,2,0.0,0.09094333333333333,0.005341230862491977,7.2282399999999996,0.310212245028331,0.7913666666666667,0.019983740517167257,0.9617133333333334,0.031121782296862965
1,.\pontos_3.txt,1,0.0,0.09105333333333333,0.003996268374313747,9.259443333333333,1.2047342066809281,0.8160933333333333,0.009294415577083921,0.9924066666666668,0.012880590405544397
1,.\pontos_3.txt,2,0.0,0.09235666666666666,0.005309047796521253,7.0944899999999995,0.6647781384378004,0.82008,0.003735237609577202,0.9978366666666666,0.0053707691180630845
1,.\pontos_4.txt,1,0.0,0.09025666666666667,0.002507049830094071,8.600509999999998,1.1639066236246105,0.73831,0.021268745889782455,0.9506966666666667,0.027994426579950348
1,.\pontos_4.txt,2,0.0,0.09036666666666666,0.001974725355558354,6.480403333333333,0.4951380869625356,0.7602066666666667,0.007852473071162545,0.9826633333333333,0.012691416684959328
1,.\pontos_5.txt,1,0.0,0.08888666666666666,0.0022431095001994596,8.77276,1.0578144523432296,0.6644466666666666,0.05066978786514555,0.8547266666666666,0.06835025380642193
1,.\pontos_5.txt,2,0.0,0.09188333333333333,0.0035563525806872583,6.716316666666667,0.2873731625260614,0.7101000000000001,0.032188903635280604,0.9291433333333334,0.05606869360256977
1,.\pontos_6.txt,1,0.0,0.09063333333333333,0.004146318128531446,9.467283333333334,0.3522318672882023,0.8090533333333333,0.007701443363750556,0.9937566666666666,0.009868573712874485
